Sample_ID,Depth_m,Vinyl Chloride,cis-1-2-Dichloroethene,trans-1-2-Dichloroethene,Trichloroethene,"1,1-Dichloroethene"
BHD5,0.5,<2,<3,<3,<3,<6
BHD5,1.6,<2,16,<3,24,<6
BHS11,1.0,-,-,-,-,-
BHS11,1.5,<2,<3,<3,<3,<6
BHS11,3.5,16,434,16,11,<6
BHS12,0.5,<2,<3,<3,<3,<6
BHS12,3.8,<2,<3,<3,67,<6
BHS17,0.75-0.8,-,-,-,-,-
BHS17,0.85,<2,<3,<3,<3,<6
BHS17,1.7,<2,<3,<3,<3,<6
BHS7,4.00-4.10,<2,3,<3,<3,<6
BHS18,1.20,<2,<3,<3,<3,<6
BHS18,1.90,-,-,-,-,-
BHS18,2.40,<2,<3,<3,<3,<6
BHS21,1.00,<2,<3,<3,<3,<6
BHS21,1.50-1.60,<2,<3,<3,<3,<6
BHS19,1.00,<2,<3,<3,<3,<6
BHS19,1.20-1.30,<2,<3,<3,<3,<6
BHS19,1.80-1.90,<2,<3,<3,<3,<6
BHS9,1.0,-,-,-,-,-
BHS9,1.5,<2,<3,<3,<3,<6
BHS6,0.8,<2,<3,<3,<3,<6
BHS6,1.6,<2,<3,<3,<3,<6
BHD5,13.0-16.0,-,-,-,-,-
BHD5,17.7-17.8,<2,<3,<3,<3,<6
BHS15,1.0,-,-,-,-,-
BHS15,3.5,79,3548,50,608,21
BHS15,4.8,3,<3,<3,<3,<6
BHS22,3.4,-,-,-,-,-
BHS22,4.5,<2,68,<3,<3,<6
BHD6,0.40,<2,<3,<3,<3,<6
BHD6,2.00,<2,<3,<3,<3,<6
BHS13,4.0,<2,309,<3,961,<6
BHS13,4.9-5.0,<2,<3,<3,<3,<6
BHS8,0.50,-,-,-,-,-
BHS8,1.00,<2,<3,<3,<3,<6
BHS8,1.20-4.00,-,-,-,-,-
BHS8,1.40-1.50,-,-,-,-,-
BHS8,2.30-2.40,<2,9,<3,<3,<6
BHS8,3.00-3.10,<2,<3,<3,<3,<6
BHS16,1.20,<2,<3,<3,<3,<6
BHS16,1.70,<2,<3,<3,<3,<6
BHD6,17.30,<2,<3,<3,<3,<6
